City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
209,ancud,-41.8697,-73.8203,15.44,74,0,0.53,CL,1705923131
210,bom jesus,-9.0744,-44.3586,29.84,65,64,0.73,BR,1705923131
211,port-gentil,-0.7193,8.7815,27.84,78,10,3.62,GA,1705923131
212,vorgashor,67.5833,63.95,-13.56,94,100,5.25,RU,1705923131
213,boyolangu,-8.1181,111.8935,26.06,84,95,2.83,ID,1705923132
214,manokwari,-0.8667,134.0833,25.11,91,100,2.47,ID,1705923132
215,inarajan village,13.2736,144.7484,25.08,92,94,8.51,GU,1705923132
216,gadzhiyevo,69.2551,33.3362,-7.69,94,100,5.79,RU,1705923133
217,kikwit,-5.041,18.8162,30.53,51,88,1.8,CD,1705923133
218,shevchenko,48.5,35.0,0.16,56,9,2.37,UA,1705923133
219,hawaiian paradise park,19.5933,-154.9731,22.24,94,75,1.54,US,1705923134
220,east london,-33.0153,27.9116,26.52,69,75,7.72,ZA,1705923134
221,chabahar,25.2919,60.643,24.15,52,0,6.33,IR,1705923134
222,usinsk,65.9939,57.5281,-19.4,95,100,3.58,RU,1705923006
223,mata-utu,-13.2816,-176.1745,28.67,77,75,2.18,WF,1705923135
224,nambucca,-30.6333,152.9833,22.59,82,75,3.29,AU,1705923135
225,colonia,50.9333,6.95,12.37,74,40,6.69,DE,1705923062
226,gisborne,-38.6533,178.0042,18.74,94,93,1.87,NZ,1705923137
227,dudinka,69.4058,86.1778,-10.18,95,100,4.02,RU,1705923137
228,grande prairie,55.1667,-118.8027,-16.9,78,100,4.12,CA,1705923137
229,uturoa,-16.7333,-151.4333,27.49,77,50,5.77,PF,1705923138
230,tabas,33.5959,56.9244,18.18,17,72,1.13,IR,1705923138
231,wasco,35.5941,-119.341,16.3,82,100,0.0,US,1705923138
232,'ain benian,36.8028,2.9219,14.03,55,0,0.24,DZ,1705923139
233,hassi messaoud,31.6804,6.0729,14.92,41,75,7.2,DZ,1705923139
234,hammerfest,70.6634,23.6821,-3.75,74,20,3.6,NO,1705923139
235,pathein,16.7833,94.7333,21.99,62,5,3.43,MM,1705923140
236,cuito,-12.3833,16.9333,22.71,64,92,2.91,AO,1705923020
237,constantia,44.1833,28.65,-3.62,69,80,1.96,RO,1705922877
238,kegeyli shahar,42.7767,59.6078,11.05,36,99,0.43,UZ,1705923140
239,besisahar,28.2313,84.3761,11.52,53,1,1.21,NP,1705923141
240,tome acu,-2.4189,-48.1522,27.21,84,66,1.86,BR,1705923141
241,kosum phisai,16.2486,103.0674,28.24,38,27,2.93,TH,1705923141
242,westport,41.1415,-73.3579,-4.1,71,0,2.06,US,1705923142
243,baruun-urt,46.6806,113.2792,-25.07,91,41,3.58,MN,1705923142
244,tshabong,-26.05,22.45,35.14,16,8,0.35,BW,1705923142
245,dunedin,-45.8742,170.5036,16.56,96,77,1.34,NZ,1705922864
246,levuka,50.1834,-105.4011,-11.1,92,100,3.09,CA,1705923143
247,nova olinda do norte,-3.8881,-59.0942,26.75,92,99,1.15,BR,1705923144
248,batticaloa,7.7102,81.6924,26.84,72,45,4.6,LK,1705923144
249,katsuura,35.1333,140.3,13.47,83,100,5.73,JP,1705923144
250,mahibadhoo,3.7833,72.9667,28.07,79,71,6.59,MV,1705923145
251,hithadhoo,-0.6,73.0833,29.15,75,64,6.49,MV,1705923145
252,haiku-pauwela,20.9219,-156.3051,21.69,85,100,2.57,US,1705923146
253,fort bragg,35.139,-79.006,-3.99,81,0,0.0,US,1705923146
254,pandan,14.0453,124.1694,25.63,86,76,4.56,PH,1705923146
255,dame-marie,18.5667,-74.4167,25.01,83,50,6.96,HT,1705923147
256,sebastian,35.1668,-94.2669,0.33,88,100,2.72,US,1705923147
257,aasiaat,68.7098,-52.8699,-15.95,95,100,4.8,GL,1705923147
258,nelson bay,-32.7167,152.15,23.89,70,56,4.47,AU,1705923148
259,ouani,-12.1322,44.4258,25.84,87,100,10.27,KM,1705923149
260,springfield,37.2153,-93.2982,-1.65,89,100,5.14,US,1705923149
